word,input,target,available,missed
typewrited,_y_ewri_e_,dpt,abcdfghjklmnopqstuvxz,
schomburgkia,_c__mb_r_k_a,ghiosu,dfghijlnopqstuvwxy,ze
plumelet,_lum_l__,ept,bcdefghijnopqstvxz,kywra
lechers,l_c__rs,eh,adeghijknpqtuwxyz,bvomf
dreamery,d__a___y,emr,bcefghijklmopqrstuvwxz,n
trophodynamics,__o__o__na___s,cdhimprty,bcdefghiklmpqrtuvwxyz,j
unvalidness,unv____n_ss,adeil,abcdefgijlmoqrtwxy,pkzh
epicureanism,_picur_ani_m,es,bdefghjkloqstvwyz,x
stanislaw,__a_i__a_,lnstw,bdefghjklmnopqstuvwxyz,cr
elflocks,e______s,cfklo,abcdfghijklmnopqrtuvwxyz,
slaughterdom,__au___erd_m,ghlost,bcfghklnopqstwxy,zijv
telenergic,t_____rg__,ceiln,abcdefijklmnopqsuvwxyz,h
ditriglyph,__t__g___h,dilpry,abcdefijklmnopqrsuvwxyz,
supersonics,s_pe_son__s,ciru,abcdfghijklmqrtuvwxz,y
postinfluenzal,postin____nza_,eflu,bcdefghjklmqruvwxy,
subintroduce,____n_r_d__e,bciostu,abcfghijklmopqstuvwxyz,
twicedestroyed,t__c_d_st____d,eiorwy,abefhijklmnopqruvwxyz,g
thrillcrazed,__rill_raz__,cdeht,bcdefghjknostuvwxy,pqm
bushgrown,___hg_o__,bnrsuw,bcdijklmnpqrsuvwyz,eftax
aerobacteriology,_erob_cter_olog_,aiy,afijkmnpsuvwxyz,hdq
cartwheels,_a_tw_eel_,chrs,bcdfghijkmpqrsvxyz,onu
undersexton,_n______t_n,deorsux,abcdefghikmoqrsuvwxz,ylpj
silkalene,s_lkalene,i,bcdfghijmopqrtvwxyz,u
laparocolpohysterotomy,__p______p_h_s_e______,aclmorty,abcfijklmnortuvxyz,gqwd
overemphaticalness,overe_p_a__calne__,himst,bdfghikmqstuwxy,jz
detering,_ete_i__,dgnr,abcdghjklmnopqrsuwxyz,vf
